project
apply
redimension
aggregate
count
avg
store
build
cross_join
sort
consume
sum
max
min
median
mad
sqrt
prod
stdev
analyze
attributes
dimensions
top_five
rank
iif
if
random
unbound
adddim
cumulate
regrid
window
allversions
attribute_rename
bernoulli
between
cancel
cast
concat
create_array
deldim
diskinfo
echo
explain_logical
explain_physical
filter
help
index_lookup
input
insert
join
list
load
load_library
load_module
lookup
materialize
merge
mstat
normalize
avg_rank
quantile
reduce_distro
remove
remove_versions
rename
repart
reshape
reverse
save
scan
setopt
sg
show
slice
sort2
first_value
last_value
subarray
substitute
thin
transpose
unfold
uniq
unload_library
old_unpack
unpack
variable_window
versions
xgrid
cancel
drop
following
into
load
over
query
set
step
update
variable
unload
instances
current
library
fixed
case
preceding
save
default
using
empty
var
create
array
and
asc
compression
end
is
order
select
start
or
then
when
reserve
all
errors
instance
join
partition
on
to
